fips,cohort_year,sex,race,age_group,off_type,repeat_contact,fe_rate,N_fe_rate,mi_rate,N_mi_rate,inc_rate,N_inc_rate,par_rate,N_par_rate,pro_rate,N_pro_rate,avg_coal_prod,med_coal_prod,tot_coal_prod,first_year,last_year,coal_prod_max,county_pop,peak_coal_prod_year,event_time,log_coal_prod,min_event_time,max_event_time
40079,2005,0,0,0,0,0,1232,48900,2105,48900,575,48900,32,48900,,,186389.8,53263,931949,2000,2018,1059247,48900,2006,-2,13.7450333711404,-7,11
40079,2005,0,0,0,1,0,141,48900,268,48900,,,,,,,186389.8,53263,931949,2000,2018,1059247,48900,2006,-2,13.7450333711404,-7,11
40079,2005,0,0,0,2,0,401,48900,533,48900,,,,,,,186389.8,53263,931949,2000,2018,1059247,48900,2006,-2,13.7450333711404,-7,11
40079,2005,0,0,0,3,0,469,48900,108,48900,,,,,,,186389.8,53263,931949,2000,2018,1059247,48900,2006,-2,13.7450333711404,-7,11
40079,2006,0,0,0,0,0,1042,49200,2283,49200,566,49200,36,49200,,,176541.166666667,122180.5,1059247,2000,2018,1059247,49200,2006,-1,13.8730688362922,-7,11
40079,2006,0,0,0,1,0,194,49200,282,49200,,,,,,,176541.166666667,122180.5,1059247,2000,2018,1059247,49200,2006,-1,13.8730688362922,-7,11
40079,2006,0,0,0,2,0,309,49200,721,49200,,,,,,,176541.166666667,122180.5,1059247,2000,2018,1059247,49200,2006,-1,13.8730688362922,-7,11
40079,2006,0,0,0,3,0,318,49200,75,49200,,,,,,,176541.166666667,122180.5,1059247,2000,2018,1059247,49200,2006,-1,13.8730688362922,-7,11
40079,2007,0,0,0,0,0,977,49600,2839,49600,521,49600,27,49600,,,196613.2,94675,983066,2000,2018,1059247,49600,2006,0,13.7984315382793,-7,11
40079,2007,0,0,0,1,0,167,49600,328,49600,,,,,,,196613.2,94675,983066,2000,2018,1059247,49600,2006,0,13.7984315382793,-7,11
40079,2007,0,0,0,2,0,266,49600,711,49600,,,,,,,196613.2,94675,983066,2000,2018,1059247,49600,2006,0,13.7984315382793,-7,11
40079,2007,0,0,0,3,0,318,49600,211,49600,,,,,,,196613.2,94675,983066,2000,2018,1059247,49600,2006,0,13.7984315382793,-7,11
40079,2008,0,0,0,0,0,1020,49900,2508,49900,530,49900,37,49900,,,287976.666666667,231938,863930,2000,2018,1059247,49900,2006,1,13.6692470259855,-7,11
40079,2008,0,0,0,1,0,198,49900,212,49900,,,,,,,287976.666666667,231938,863930,2000,2018,1059247,49900,2006,1,13.6692470259855,-7,11
40079,2008,0,0,0,2,0,316,49900,769,49900,,,,,,,287976.666666667,231938,863930,2000,2018,1059247,49900,2006,1,13.6692470259855,-7,11
40079,2008,0,0,0,3,0,269,49900,141,49900,,,,,,,287976.666666667,231938,863930,2000,2018,1059247,49900,2006,1,13.6692470259855,-7,11
40079,2009,0,0,0,0,0,1017,50100,2689,50100,515,50100,30,50100,,,133658.25,57633.5,534633,2000,2018,1059247,50100,2006,2,13.1893358091769,-7,11
40079,2009,0,0,0,1,0,205,50100,218,50100,,,,,,,133658.25,57633.5,534633,2000,2018,1059247,50100,2006,2,13.1893358091769,-7,11
40079,2009,0,0,0,2,0,312,50100,732,50100,,,,,,,133658.25,57633.5,534633,2000,2018,1059247,50100,2006,2,13.1893358091769,-7,11
40079,2009,0,0,0,3,0,273,50100,157,50100,,,,,,,133658.25,57633.5,534633,2000,2018,1059247,50100,2006,2,13.1893358091769,-7,11
40079,2010,0,0,0,0,0,934,50500,2519,50500,520,50500,23,50500,,,200092.666666667,206387,600278,2000,2018,1059247,50500,2006,3,13.3051481602259,-7,11
40079,2010,0,0,0,1,0,172,50500,239,50500,,,,,,,200092.666666667,206387,600278,2000,2018,1059247,50500,2006,3,13.3051481602259,-7,11
40079,2010,0,0,0,2,0,268,50500,605,50500,,,,,,,200092.666666667,206387,600278,2000,2018,1059247,50500,2006,3,13.3051481602259,-7,11
40079,2010,0,0,0,3,0,305,50500,141,50500,,,,,,,200092.666666667,206387,600278,2000,2018,1059247,50500,2006,3,13.3051481602259,-7,11
40105,2009,0,0,0,0,0,1218,10500,2334,10500,650,10500,38,10500,,,22814,22814,22814,2006,2017,254087,10500,2011,-3,10.0351296615878,-6,5
40105,2009,0,0,0,1,0,205,10500,264,10500,,,,,,,22814,22814,22814,2006,2017,254087,10500,2011,-3,10.0351296615878,-6,5
40105,2009,0,0,0,2,0,306,10500,468,10500,,,,,,,22814,22814,22814,2006,2017,254087,10500,2011,-3,10.0351296615878,-6,5
40105,2009,0,0,0,3,0,362,10500,272,10500,,,,,,,22814,22814,22814,2006,2017,254087,10500,2011,-3,10.0351296615878,-6,5
40105,2010,0,0,0,0,0,1206,10500,2024,10500,626,10500,30,10500,,,212817,212817,212817,2006,2017,254087,10500,2011,-2,12.2681879204769,-6,5
40105,2010,0,0,0,1,0,211,10500,248,10500,,,,,,,212817,212817,212817,2006,2017,254087,10500,2011,-2,12.2681879204769,-6,5
40105,2010,0,0,0,2,0,297,10500,391,10500,,,,,,,212817,212817,212817,2006,2017,254087,10500,2011,-2,12.2681879204769,-6,5
40105,2010,0,0,0,3,0,351,10500,228,10500,,,,,,,212817,212817,212817,2006,2017,254087,10500,2011,-2,12.2681879204769,-6,5
40105,2011,0,0,0,0,0,1184,10600,1879,10600,632,10600,37,10600,,,254087,254087,254087,2006,2017,254087,10600,2011,-1,12.4454320070392,-6,5
40105,2011,0,0,0,1,0,186,10600,243,10600,,,,,,,254087,254087,254087,2006,2017,254087,10600,2011,-1,12.4454320070392,-6,5
40105,2011,0,0,0,2,0,320,10600,326,10600,,,,,,,254087,254087,254087,2006,2017,254087,10600,2011,-1,12.4454320070392,-6,5
40105,2011,0,0,0,3,0,325,10600,200,10600,,,,,,,254087,254087,254087,2006,2017,254087,10600,2011,-1,12.4454320070392,-6,5
40105,2012,0,0,0,0,0,1145,10600,1760,10600,697,10600,,,,,253630,253630,253630,2006,2017,254087,10600,2011,0,12.4436317910787,-6,5
40105,2012,0,0,0,1,0,189,10600,224,10600,,,,,,,253630,253630,253630,2006,2017,254087,10600,2011,0,12.4436317910787,-6,5
40105,2012,0,0,0,2,0,335,10600,317,10600,,,,,,,253630,253630,253630,2006,2017,254087,10600,2011,0,12.4436317910787,-6,5
40105,2012,0,0,0,3,0,296,10600,197,10600,,,,,,,253630,253630,253630,2006,2017,254087,10600,2011,0,12.4436317910787,-6,5
40105,2013,0,0,0,0,0,1186,10600,1681,10600,693,10600,,,,,240140,240140,240140,2006,2017,254087,10600,2011,1,12.3889773655847,-6,5
40105,2013,0,0,0,1,0,187,10600,217,10600,,,,,,,240140,240140,240140,2006,2017,254087,10600,2011,1,12.3889773655847,-6,5
40105,2013,0,0,0,2,0,340,10600,315,10600,,,,,,,240140,240140,240140,2006,2017,254087,10600,2011,1,12.3889773655847,-6,5
40105,2013,0,0,0,3,0,334,10600,207,10600,,,,,,,240140,240140,240140,2006,2017,254087,10600,2011,1,12.3889773655847,-6,5
40105,2014,0,0,0,0,0,1219,10500,1701,10500,772,10500,28,10500,,,249330,249330,249330,2006,2017,254087,10500,2011,2,12.4265325992152,-6,5
40105,2014,0,0,0,1,0,189,10500,229,10500,,,,,,,249330,249330,249330,2006,2017,254087,10500,2011,2,12.4265325992152,-6,5
40105,2014,0,0,0,2,0,335,10500,329,10500,,,,,,,249330,249330,249330,2006,2017,254087,10500,2011,2,12.4265325992152,-6,5
40105,2014,0,0,0,3,0,355,10500,199,10500,,,,,,,249330,249330,249330,2006,2017,254087,10500,2011,2,12.4265325992152,-6,5
